id,housetitle,address,quxian,shangquan,sqpinyin,money,lng,lat,geocode_status
190,中粮地产集团中心,"深圳中心区3区,紧邻宝安107国道和南头检查站",宝安,宝安中心区,baoanzhongxinqu,20995,,,ERR:HTTP Error 429: Too 
191,中南花园商铺,深圳宝安38区宝安大道(原新城大道)与新安一路交汇处,宝安,宝安中心区,baoanzhongxinqu,0,,,ERR:HTTP Error 429: Too 
192,中怡名苑商铺,深圳宝安区翻身路40区,宝安,宝安中心区,baoanzhongxinqu,0,,,ERR:HTTP Error 429: Too 
193,安华小区商铺,深圳宝安区35区前进一路沃尔玛旁,宝安,宝安中心区,baoanzhongxinqu,0,,,ERR:HTTP Error 429: Too 
194,安乐新苑商铺,深圳南头关口宝安大道(新城联检站旁),宝安,宝安中心区,baoanzhongxinqu,0,,,ERR:HTTP Error 429: Too 
195,宝安23区微利房,深圳宝安区23区上合市场隔壁,宝安,宝安中心区,baoanzhongxinqu,21945,,,ERR:HTTP Error 429: Too 
196,宝河大厦写字楼,深圳新城6区宝安大道3271号,宝安,宝安中心区,baoanzhongxinqu,11111,,,ERR:HTTP Error 429: Too 
197,宝海花园商铺,深圳宝安39区翻身路,宝安,宝安中心区,baoanzhongxinqu,0,,,ERR:HTTP Error 429: Too 
198,宝鸿林大厦,深圳宝安大道与裕安路交汇处,宝安,宝安中心区,baoanzhongxinqu,11239,,,ERR:HTTP Error 429: Too 
199,白金假日公寓商铺,深圳宝安中心区海城路,宝安,宝安中心区,baoanzhongxinqu,0,,,ERR:HTTP Error 429: Too 
200,碧涛阁商铺,深圳宝城四十八区,宝安,宝安中心区,baoanzhongxinqu,0,,,ERR:HTTP Error 429: Too 
201,碧海名苑商铺,深圳宝安中心区西乡客运站旁,宝安,宝安中心区,baoanzhongxinqu,0,,,ERR:HTTP Error 429: Too 
202,宝安23区微利房商铺,深圳宝安区23区上合市场隔壁,宝安,宝安中心区,baoanzhongxinqu,0,,,ERR:HTTP Error 429: Too 
203,宝新花园商铺,深圳宝安44区创业路,宝安,宝安中心区,baoanzhongxinqu,0,,,ERR:HTTP Error 429: Too 
204,宝兴花园商铺,深圳宝安81区宝民二路,宝安,宝安中心区,baoanzhongxinqu,0,,,ERR:HTTP Error 429: Too 
205,宝安互联网产业基地,深圳宝源路以南、新安六路以西、兴业路以北、西乡河东西两岸,宝安,宝安中心区,baoanzhongxinqu,8989,,,ERR:HTTP Error 429: Too 
206,宝立方珠宝城写字楼,深圳宝安区新安四路198号(新安四路和前进二路的交汇处),宝安,宝安中心区,baoanzhongxinqu,22797,,,ERR:HTTP Error 429: Too 
207,常福楼商铺,深圳宝安37区翻身路与新安一路交汇点,宝安,宝安中心区,baoanzhongxinqu,0,,,ERR:HTTP Error 429: Too 
208,常盛花园商铺,深圳宝安43区创业路,宝安,宝安中心区,baoanzhongxinqu,0,,,ERR:HTTP Error 429: Too 
209,创业电子城商铺,深圳前进一路与创业二路交汇处,宝安,宝安中心区,baoanzhongxinqu,0,,,ERR:HTTP Error 429: Too 
210,东江豪苑写字楼,深圳宝安新安宝民一路,宝安,宝安中心区,baoanzhongxinqu,14993,,,ERR:HTTP Error 429: Too 
211,达海花园商铺,深圳宝安新中心区新城大道新体育馆旁,宝安,宝安中心区,baoanzhongxinqu,0,,,ERR:HTTP Error 429: Too 
212,富海电脑商城,深圳宝安前进路与创业二路交汇处,宝安,宝安中心区,baoanzhongxinqu,0,,,ERR:HTTP Error 429: Too 
213,富源商贸中心写字楼,深圳中心区创业路与宝安44区翻身大道交汇处,宝安,宝安中心区,baoanzhongxinqu,22983,,,ERR:HTTP Error 429: Too 
214,富源花园商铺,深圳宝安44区翻身路与兴华路交汇处,宝安,宝安中心区,baoanzhongxinqu,0,,,ERR:HTTP Error 429: Too 
215,富盛苑商铺,深圳宝安大道宝安中心区翻身路,宝安,宝安中心区,baoanzhongxinqu,0,,,ERR:HTTP Error 429: Too 
216,富通好旺角二期商铺,深圳新城大道与创业路交汇处,宝安,宝安中心区,baoanzhongxinqu,0,,,ERR:HTTP Error 429: Too 
217,富通豪业华庭商铺,深圳宝安中心区西南侧兴业路与海城路交汇,宝安,宝安中心区,baoanzhongxinqu,0,,,ERR:HTTP Error 429: Too 
218,富怡花园商铺,深圳宝安43区翻身路,宝安,宝安中心区,baoanzhongxinqu,0,,,ERR:HTTP Error 429: Too 
219,富铭花园商铺,深圳深圳宝安40区翻身路与新安一路交汇处,宝安,宝安中心区,baoanzhongxinqu,0,,,ERR:HTTP Error 429: Too 
220,福中福花园二期商铺,深圳新安大道与宝源路交汇处,宝安,宝安中心区,baoanzhongxinqu,0,,,ERR:HTTP Error 429: Too 
221,华美居商铺,深圳宝安区新中心区新湖路,宝安,宝安中心区,baoanzhongxinqu,0,,,ERR:HTTP Error 429: Too 
222,华厦楼,深圳宝安8区宝民路万家商场对面,宝安,宝安中心区,baoanzhongxinqu,18637,,,ERR:HTTP Error 429: Too 
223,海天花园商铺,深圳宝安45区翻身路,宝安,宝安中心区,baoanzhongxinqu,0,,,ERR:HTTP Error 429: Too 
224,华丰商务大厦,深圳深圳宝安25区前进一路,宝安,宝安中心区,baoanzhongxinqu,14500,,,ERR:HTTP Error 429: Too 
225,华翔居商铺,深圳宝安区47区上川路海滨市场附近,宝安,宝安中心区,baoanzhongxinqu,0,,,ERR:HTTP Error 429: Too 
226,海云轩商铺,深圳宝安44区宝安大道(临新中心区),宝安,宝安中心区,baoanzhongxinqu,0,,,ERR:HTTP Error 429: Too 
227,花样年花郡家园商铺,深圳宝安大道与玉律路交汇处(宝安体育馆旁),宝安,宝安中心区,baoanzhongxinqu,0,,,ERR:HTTP Error 429: Too 
228,汇宝苑商铺,深圳宝安区翻身路48区,宝安,宝安中心区,baoanzhongxinqu,0,,,ERR:HTTP Error 429: Too 
229,华厦楼商铺,深圳宝安8区宝民路万家商场对面,宝安,宝安中心区,baoanzhongxinqu,0,,,ERR:HTTP Error 429: Too 
230,海韵花园商铺,深圳宝安48区翻身路,宝安,宝安中心区,baoanzhongxinqu,0,,,ERR:HTTP Error 429: Too 
231,华丰科技园,深圳宝安区新中心区新湖路,宝安,宝安中心区,baoanzhongxinqu,0,,,ERR:HTTP Error 429: Too 
232,华夏楼商铺,深圳宝安区7区宝民一路,宝安,宝安中心区,baoanzhongxinqu,0,,,ERR:HTTP Error 429: Too 
233,华美居写字楼,深圳宝安区新中心区新湖路,宝安,宝安中心区,baoanzhongxinqu,11323,,,ERR:HTTP Error 429: Too 
234,君逸世家商铺,深圳宝安新湖路与罗田路交汇处,宝安,宝安中心区,baoanzhongxinqu,0,,,ERR:HTTP Error 429: Too 
235,金汇名园商铺,深圳宝城41区翻身大道与甲岸路之交汇处,宝安,宝安中心区,baoanzhongxinqu,0,,,ERR:HTTP Error 429: Too 
236,金碧花园商铺,深圳宝民二路与西乡大道交汇处,宝安,宝安中心区,baoanzhongxinqu,0,,,ERR:HTTP Error 429: Too 
237,金泓凯旋城二期商铺,深圳宝安新中心区宝安大道与新安路交汇处,宝安,宝安中心区,baoanzhongxinqu,0,,,ERR:HTTP Error 429: Too 
238,景富苑商铺,深圳宝安48区翻身路旁,宝安,宝安中心区,baoanzhongxinqu,0,,,ERR:HTTP Error 429: Too 
239,龙光世纪汇,深圳宝华路与兴华路交汇处(区政府东南面),宝安,宝安中心区,baoanzhongxinqu,0,,,ERR:HTTP Error 429: Too 
240,群贤花园商铺,深圳宝安中心区宝城五十区,宝安,宝安中心区,baoanzhongxinqu,0,,,ERR:HTTP Error 429: Too 
241,庆华花园商铺,深圳宝安42区近南头关口新一佳,宝安,宝安中心区,baoanzhongxinqu,0,,,ERR:HTTP Error 429: Too 
242,前海义乌商贸城,深圳宝安中心区新湖路与西乡河交汇处(宝安中心区福中福商贸城),宝安,宝安中心区,baoanzhongxinqu,0,,,ERR:HTTP Error 429: Too 
243,深航假日名居,深圳宝安区 新安六路与滨海大道交汇处东北角,宝安,宝安中心区,baoanzhongxinqu,27082,,,ERR:HTTP Error 429: Too 
244,石鸿花园商铺,深圳宝安区宝安40区翻身路,宝安,宝安中心区,baoanzhongxinqu,0,,,ERR:HTTP Error 429: Too 
245,石鸿融景园商铺,深圳新中心区宝安大道与裕安二路交汇处,宝安,宝安中心区,baoanzhongxinqu,0,,,ERR:HTTP Error 429: Too 
246,深宝花园商铺,深圳宝安区45区,宝安,宝安中心区,baoanzhongxinqu,0,,,ERR:HTTP Error 429: Too 
247,书苑雅阁商铺,深圳20区洪浪北路与大宝路交汇处,宝安,宝安中心区,baoanzhongxinqu,0,,,ERR:HTTP Error 429: Too 
248,深业新岸线三期商铺,深圳宝安创业路与罗田路交汇处,宝安,宝安中心区,baoanzhongxinqu,0,,,ERR:HTTP Error 429: Too 
249,泰华大厦写字楼,深圳宝安区前进路,宝安,宝安中心区,baoanzhongxinqu,19992,,,ERR:HTTP Error 429: Too 
250,泰丰广场,深圳中心区西乡镇麻布宝源路与海城路交汇处,宝安,宝安中心区,baoanzhongxinqu,7720,,,ERR:HTTP Error 429: Too 
251,泰华俊庭商铺,深圳宝安45区创业路与自由路交汇处,宝安,宝安中心区,baoanzhongxinqu,0,,,ERR:HTTP Error 429: Too 
252,泰华君逸世家商铺,深圳宝安新湖路与罗田路交汇处,宝安,宝安中心区,baoanzhongxinqu,0,,,ERR:HTTP Error 429: Too 
253,泰华苑商铺,深圳宝安40区新安一路112号,宝安,宝安中心区,baoanzhongxinqu,0,,,ERR:HTTP Error 429: Too 
254,文乐花园商铺,深圳宝安45区翻身路,宝安,宝安中心区,baoanzhongxinqu,0,,,ERR:HTTP Error 429: Too 
255,西城品阁商铺,深圳新安片区前进路与新安路交汇处(天虹后侧),宝安,宝安中心区,baoanzhongxinqu,0,,,ERR:HTTP Error 429: Too 
256,西岸观邸商铺,深圳宝安大道与甲岸路交汇处,宝安,宝安中心区,baoanzhongxinqu,0,,,ERR:HTTP Error 429: Too 
257,兴业华庭商铺,深圳宝安48区翻身大道翻身实验小学对面,宝安,宝安中心区,baoanzhongxinqu,0,,,ERR:HTTP Error 429: Too 
258,新安园商铺,深圳宝安区宝城48区,宝安,宝安中心区,baoanzhongxinqu,0,,,ERR:HTTP Error 429: Too 
259,新秀苑商铺,深圳宝安宝城五十区,宝安,宝安中心区,baoanzhongxinqu,0,,,ERR:HTTP Error 429: Too 
260,新锦安雅园二期商铺,深圳翻身大道与龙井路的交汇东,宝安,宝安中心区,baoanzhongxinqu,0,,,ERR:HTTP Error 429: Too 
261,新乐花园商铺,深圳新安一路与翻身路的交叉口,宝安,宝安中心区,baoanzhongxinqu,0,,,ERR:HTTP Error 429: Too 
262,新城花园商铺,深圳宝安新城大道与创业西路交汇处,宝安,宝安中心区,baoanzhongxinqu,0,,,ERR:HTTP Error 429: Too 
263,新源花园商铺,深圳宝安西乡大道侧宝源路交汇处,宝安,宝安中心区,baoanzhongxinqu,0,,,ERR:HTTP Error 429: Too 
264,熙龙湾二期商铺,深圳甲岸路与海秀路交汇处,宝安,宝安中心区,baoanzhongxinqu,0,,,ERR:HTTP Error 429: Too 
265,裕华花园商铺,深圳宝安49区翻身路新一佳商场旁富年华商场对面,宝安,宝安中心区,baoanzhongxinqu,0,,,ERR:HTTP Error 429: Too 
266,资安商务大楼,深圳中心区宝城6区前进一路经发大厦旁,宝安,宝安中心区,baoanzhongxinqu,20664,,,ERR:HTTP Error 429: Too 
267,中商花园商铺,深圳宝安城区40区(新中心区)宝安大道与甲岸路交汇处,宝安,宝安中心区,baoanzhongxinqu,0,,,ERR:HTTP Error 429: Too 
268,泰华海逸世家,深圳新中心区N7区新湖路与新安西路交界处北侧（悦龙宾馆附近）,宝安,宝安中心区,baoanzhongxinqu,0,,,ERR:HTTP Error 429: Too 
269,中粮大悦城项目,深圳中心区25区创业二路与前进一路交汇处西,宝安,宝安中心区,baoanzhongxinqu,0,,,ERR:HTTP Error 429: Too 
270,宝安上川保障房项目,深圳新安街道上川路与宝石路交汇处,宝安,宝安中心区,baoanzhongxinqu,0,,,ERR:HTTP Error 429: Too 
271,宏发前城,深圳宝安大道与海城路交汇处（1号线坪洲地铁站上盖）,宝安,宝安中心区,baoanzhongxinqu,0,,,ERR:HTTP Error 429: Too 
272,金利通金融中心,深圳宝安中心区兴业路与裕安路交汇处东南角（宝安区政府斜对面）,宝安,宝安中心区,baoanzhongxinqu,0,,,ERR:HTTP Error 429: Too 
273,前海卓越时代广场,深圳深圳市宝安区宝华路与海天路交汇处西南角（宝安区政府附近）,宝安,宝安中心区,baoanzhongxinqu,0,,,ERR:HTTP Error 429: Too 
274,盛意家园,深圳宝安大道与创业一路交汇处,宝安,宝安中心区,baoanzhongxinqu,0,,,ERR:HTTP Error 429: Too 
275,新锦安壹号公馆,深圳N6区宝安大道和甲岸路交汇处,宝安,宝安中心区,baoanzhongxinqu,0,,,ERR:HTTP Error 429: Too 
276,壹方中心,深圳新湖路与兴华一路交汇处西南角,宝安,宝安中心区,baoanzhongxinqu,0,,,ERR:HTTP Error 429: Too 
277,源和苑项目,深圳深圳市宝安区宝源路污水处理厂西向斜对面,宝安,宝安中心区,baoanzhongxinqu,0,,,ERR:HTTP Error 429: Too 
278,正中商业广场,深圳区新湖路与新安一路交界处,宝安,宝安中心区,baoanzhongxinqu,0,,,ERR:HTTP Error 429: Too 
279,御景水岸别墅,"深圳福永街道广深公路西侧(立新水库东侧,龙翔山庄旁)",宝安,福永,fuyong,41951,,,ERR:HTTP Error 429: Too 
280,万科金色领域,深圳宝安大道航空新城,宝安,福永,fuyong,23956,,,ERR:HTTP Error 429: Too 
281,福永花苑,深圳福永镇107国道东侧兴益工业城,宝安,福永,fuyong,16566,,,ERR:HTTP Error 429: Too 
282,凤凰新天,深圳福永街道白石厦,宝安,福永,fuyong,20199,,,ERR:HTTP Error 429: Too 
283,金域豪庭,深圳福永镇同富裕路,宝安,福永,fuyong,23170,,,ERR:HTTP Error 429: Too 
284,金石雅苑,深圳福永镇温馨路与广深公路交汇处,宝安,福永,fuyong,19078,,,ERR:HTTP Error 429: Too 
285,时代景苑,深圳福永镇广深路东侧兴益路口,宝安,福永,fuyong,18657,,,ERR:HTTP Error 429: Too 
286,御景水岸,"深圳福永街道广深公路西侧(立新水库东侧,龙翔山庄旁)",宝安,福永,fuyong,21677,,,ERR:HTTP Error 429: Too 
287,凤城花园,深圳福永新田社区大洋路中段,宝安,福永,fuyong,5345,,,ERR:HTTP Error 429: Too 
288,深航幸福花园,深圳福永街道宝安大道与荔园路交汇处(塘尾万里小学附近),宝安,福永,fuyong,4545,,,ERR:HTTP Error 429: Too 
289,鸿德园,深圳宝安区桥和路,宝安,福永,fuyong,6917,,,ERR:HTTP Error 429: Too 
290,德金花园,深圳福永和平社区和平路与松福路交汇处,宝安,福永,fuyong,3717,,,ERR:HTTP Error 429: Too 
291,立新湖花园,深圳福永镇立新湖畔,宝安,福永,fuyong,14277,,,ERR:HTTP Error 429: Too 
292,龙翔山庄,深圳宝安区福永镇龙翔路,宝安,福永,fuyong,18911,,,ERR:HTTP Error 429: Too 
293,金域豪庭二期,深圳福永镇同富裕路,宝安,福永,fuyong,25430,,,ERR:HTTP Error 429: Too 
294,凤凰世纪,深圳福永宝安大道边上107国道凤凰立交桥旁,宝安,福永,fuyong,6422,,,ERR:HTTP Error 429: Too 
295,福馨花园,深圳福永沿海高速出口,宝安,福永,fuyong,4193,,,ERR:HTTP Error 429: Too 
296,景山花园,深圳福永大洋开发区内宝安大道大洋路口附近,宝安,福永,fuyong,14873,,,ERR:HTTP Error 429: Too 
297,天欣花园三期,深圳福永镇政丰南路与永泰西路交汇处,宝安,福永,fuyong,20436,,,ERR:HTTP Error 429: Too 
298,大洋田旭飞花园,深圳宝安福永镇大洋田大洋路与宝安大道交汇处,宝安,福永,fuyong,4053,,,ERR:HTTP Error 429: Too 
299,听涛雅苑(宝安),深圳福永立新北路,宝安,福永,fuyong,7157,,,ERR:HTTP Error 429: Too 
300,万福人家二期,深圳政丰南路、福永镇万福广场旁边,宝安,福永,fuyong,18851,,,ERR:HTTP Error 429: Too 
301,福侨花园,深圳福永国际机场附近,宝安,福永,fuyong,23374,,,ERR:HTTP Error 429: Too 
302,白石厦村,深圳宝安福永街道办白石厦路白石厦村,宝安,福永,fuyong,4159,,,ERR:HTTP Error 429: Too 
303,福安大厦,深圳福永镇德丰路,宝安,福永,fuyong,11318,,,ERR:HTTP Error 429: Too 
304,时代晶座,"深圳宝安区福永镇广深路东侧,凤凰山脚下",宝安,福永,fuyong,17203,,,ERR:HTTP Error 429: Too 
305,福怡商住大厦,深圳福永镇政丰北路,宝安,福永,fuyong,12102,,,ERR:HTTP Error 429: Too 
306,福永村,深圳宝安福永街道办福永村,宝安,福永,fuyong,6262,,,ERR:HTTP Error 429: Too 
307,怀德城市花园,深圳宝安福永大道国惠康百货楼上,宝安,福永,fuyong,8919,,,ERR:HTTP Error 429: Too 
308,金域地中海,深圳福永镇同富裕路,宝安,福永,fuyong,6857,,,ERR:HTTP Error 429: Too 
309,金域豪庭三期,深圳福永镇同富裕路(新城大道东侧),宝安,福永,fuyong,29218,,,ERR:HTTP Error 429: Too 
310,万福人家,深圳福永镇政丰南,宝安,福永,fuyong,18284,,,ERR:HTTP Error 429: Too 
311,星航华府,深圳深圳市航空新城宝安107国道兴围路口,宝安,福永,fuyong,17006,,,ERR:HTTP Error 429: Too 
312,聚龙居(福永),深圳福永桥头村委桥头小学对面,宝安,福永,fuyong,4686,,,ERR:HTTP Error 429: Too 
313,福永龙腾阁,深圳福永镇政丰北路龙滕阁小区,宝安,福永,fuyong,12571,,,ERR:HTTP Error 429: Too 
314,桥头荔园小区,深圳福永桥头荔园路,宝安,福永,fuyong,4255,,,ERR:HTTP Error 429: Too 
315,万科金色领域二期,深圳深圳市宝安宝安大道航空新城,宝安,福永,fuyong,20504,,,ERR:HTTP Error 429: Too 
316,福华大厦,深圳福永镇福新大道,宝安,福永,fuyong,11803,,,ERR:HTTP Error 429: Too 
317,福临山庄,深圳宝安区福海大道,宝安,福永,fuyong,4188,,,ERR:HTTP Error 429: Too 
318,丰泽村,深圳宝安福永大道,宝安,福永,fuyong,9005,,,ERR:HTTP Error 429: Too 
319,商会信息大厦,"深圳福永宝安大道桥头站,桥和路与大洋路交汇处",宝安,福永,fuyong,7838,,,ERR:HTTP Error 429: Too 
320,福靖楼,深圳福永镇德丰路,宝安,福永,fuyong,8465,,,ERR:HTTP Error 429: Too 
321,文福大厦,深圳宝安福永宝利来大酒店旁,宝安,福永,fuyong,11584,,,ERR:HTTP Error 429: Too 
322,德兆花园,"深圳温馨路,107国道旁边",宝安,福永,fuyong,3173,,,ERR:HTTP Error 429: Too 
323,万福雅苑,深圳深圳市宝安区福永镇白石厦大道旁,宝安,福永,fuyong,9838,,,ERR:HTTP Error 429: Too 
324,企岗山花园,深圳机场路1004号,宝安,福永,fuyong,16331,,,ERR:HTTP Error 429: Too 
325,永利大厦,深圳福永街道市场西南侧,宝安,福永,fuyong,12502,,,ERR:HTTP Error 429: Too 
326,馨领域,深圳温馨路与广深公路交汇处,宝安,福永,fuyong,18121,,,ERR:HTTP Error 429: Too 
327,金港国际公寓,深圳宝安-福永-白石厦,宝安,福永,fuyong,4832,,,ERR:HTTP Error 429: Too 
328,同和悦园,深圳福永街道白石厦107国道东侧,宝安,福永,fuyong,17920,,,ERR:HTTP Error 429: Too 
329,有福楼,深圳宝安区福永街道德丰路南侧,宝安,福永,fuyong,13238,,,ERR:HTTP Error 429: Too 
330,凤凰村,深圳新田大道与凤塘大道交汇处凤凰村,宝安,福永,fuyong,4065,,,ERR:HTTP Error 429: Too 
331,广福大厦,深圳福永镇福永大道,宝安,福永,fuyong,12215,,,ERR:HTTP Error 429: Too 
332,恒福苑,深圳福永街道德丰路南侧,宝安,福永,fuyong,13939,,,ERR:HTTP Error 429: Too 
333,荔园大厦(福永),深圳福永荔园路与和沙路交汇处,宝安,福永,fuyong,4486,,,ERR:HTTP Error 429: Too 
334,永利嘉园,深圳福永市场旁边,宝安,福永,fuyong,13795,,,ERR:HTTP Error 429: Too 
335,永恒楼,深圳德丰路与芳华二路交汇处,宝安,福永,fuyong,12602,,,ERR:HTTP Error 429: Too 
336,天欣花园三期商铺,深圳深圳市宝安区福永镇政丰南路东侧,宝安,福永,fuyong,0,,,ERR:HTTP Error 429: Too 
337,天欣花园二期,深圳政丰南路、福永镇万福广场旁边,宝安,福永,fuyong,9591,,,ERR:HTTP Error 429: Too 
338,塘尾村,深圳宝安福永街道办塘尾西路塘尾村,宝安,福永,fuyong,4483,,,ERR:HTTP Error 429: Too 
339,永兴楼,深圳福永镇怀德路,宝安,福永,fuyong,11471,,,ERR:HTTP Error 429: Too 
340,翠岗一区小区,深圳宝安区福永街道福围社区,宝安,福永,fuyong,3292,,,ERR:HTTP Error 429: Too 
341,福侨花园三期,深圳福永镇同富裕路,宝安,福永,fuyong,14449,,,ERR:HTTP Error 429: Too 
342,同泰时代中心,深圳福永宝安大道与蚝业路交界处(西南),宝安,福永,fuyong,5909,,,ERR:HTTP Error 429: Too 
343,万福人家二期商铺,深圳福永镇万福广场旁边,宝安,福永,fuyong,0,,,ERR:HTTP Error 429: Too 
344,金域豪庭商铺,深圳福永街道新城大道东侧(亿佳购物商场旁),宝安,福永,fuyong,0,,,ERR:HTTP Error 429: Too 
345,时代景苑商铺,深圳福永镇广深路东侧,宝安,福永,fuyong,0,,,ERR:HTTP Error 429: Too 
346,政永楼,深圳福永人民医院对面,宝安,福永,fuyong,15240,,,ERR:HTTP Error 429: Too 
347,发兴楼,深圳福永镇德丰路,宝安,福永,fuyong,25208,,,ERR:HTTP Error 429: Too 
348,褔永花园,深圳宝安107国道旁边、兴益工业区,宝安,福永,fuyong,12989,,,ERR:HTTP Error 429: Too 
349,福华大厦商铺,深圳福永镇福新大道,宝安,福永,fuyong,0,,,ERR:HTTP Error 429: Too 
350,恒福苑商铺,深圳深圳市宝安区福永街道德丰路南侧,宝安,福永,fuyong,0,,,ERR:HTTP Error 429: Too 
351,景山花园商铺,深圳福永宝安大道大洋路,宝安,福永,fuyong,0,,,ERR:HTTP Error 429: Too 
352,立新湖花园商铺,深圳深圳市宝安区福永镇立新湖畔,宝安,福永,fuyong,0,,,ERR:HTTP Error 429: Too 
353,万福人家商铺,深圳福永镇政丰南,宝安,福永,fuyong,0,,,ERR:HTTP Error 429: Too 
354,宝利来国际大酒店商铺,深圳福永大道旁宝利来酒店楼下,宝安,福永,fuyong,0,,,ERR:HTTP Error 429: Too 
355,白石厦商业街商铺,深圳深圳福永白石厦,宝安,福永,fuyong,0,,,ERR:HTTP Error 429: Too 
356,翠岗一区小区商铺,深圳宝安区福永街道福围社区,宝安,福永,fuyong,0,,,ERR:HTTP Error 429: Too 
357,褔侨花园,深圳褔永街道东侧旁,宝安,福永,fuyong,15986,,,ERR:HTTP Error 429: Too 
358,福永花苑商铺,深圳宝安区福永镇107国道东侧兴益工业城,宝安,福永,fuyong,0,,,ERR:HTTP Error 429: Too 
359,福安大厦商铺,深圳福永镇德丰路,宝安,福永,fuyong,0,,,ERR:HTTP Error 429: Too 
360,丰泽村商铺,深圳福永大道西环路,宝安,福永,fuyong,0,,,ERR:HTTP Error 429: Too 
361,发兴楼商铺,深圳福永镇德丰路,宝安,福永,fuyong,0,,,ERR:HTTP Error 429: Too 
362,褔侨花园商铺,深圳褔永街道东侧旁,宝安,福永,fuyong,0,,,ERR:HTTP Error 429: Too 
363,福侨花园商铺,深圳宝安福永国际机场附近,宝安,福永,fuyong,0,,,ERR:HTTP Error 429: Too 
364,福靖楼商铺,深圳福永镇德丰路,宝安,福永,fuyong,0,,,ERR:HTTP Error 429: Too 
365,福怡商住大厦商铺,深圳福永镇政丰北路,宝安,福永,fuyong,0,,,ERR:HTTP Error 429: Too 
366,福永龙腾阁商铺,深圳福永镇政丰北路龙滕阁小区,宝安,福永,fuyong,0,,,ERR:HTTP Error 429: Too 
367,福隆大厦,深圳深圳市宝安50区宝安大道,宝安,福永,fuyong,0,,,ERR:HTTP Error 429: Too 
368,凤凰新天商铺,深圳福永街道白石厦(107国道东侧),宝安,福永,fuyong,0,,,ERR:HTTP Error 429: Too 
369,广福大厦商铺,深圳福永镇福永大道,宝安,福永,fuyong,0,,,ERR:HTTP Error 429: Too 
370,怀德城市花园商铺,深圳宝安福永大道国惠康百货楼上,宝安,福永,fuyong,0,,,ERR:HTTP Error 429: Too 
371,鸿德园商铺,深圳宝安区桥和路(维也纳酒店斜对面),宝安,福永,fuyong,0,,,ERR:HTTP Error 429: Too 
372,金石雅苑商铺,深圳宝安区福永镇温馨路,宝安,福永,fuyong,0,,,ERR:HTTP Error 429: Too 
373,金域地中海商铺,深圳福永镇同富裕路,宝安,福永,fuyong,0,,,ERR:HTTP Error 429: Too 
374,莱福大厦,深圳深圳 宝安区 福永镇福永大道,宝安,福永,fuyong,21982,,,ERR:HTTP Error 429: Too 
375,企岗山花园商铺,深圳宝安机场附近,宝安,福永,fuyong,0,,,ERR:HTTP Error 429: Too 
376,时代晶座商铺,深圳宝安区福永镇广深路东侧,宝安,福永,fuyong,0,,,ERR:HTTP Error 429: Too 
377,商会信息大厦商铺,"深圳福永宝安大道桥头站,桥和路与大洋路交汇处",宝安,福永,fuyong,0,,,ERR:HTTP Error 429: Too 
378,世源中心,深圳福永街道白石厦(107国道东侧),宝安,福永,fuyong,17826,,,ERR:HTTP Error 429: Too 
379,温馨花园,深圳福永镇工业一路11号,宝安,福永,fuyong,30001,,,ERR:HTTP Error 429: Too 
380,文福大厦商铺,深圳宝安福永宝利来大酒店旁,宝安,福永,fuyong,0,,,ERR:HTTP Error 429: Too 
381,万科金街,深圳宝安大道航空新城(宝安国际机场附近),宝安,福永,fuyong,0,,,ERR:HTTP Error 429: Too 
382,万科金色领域商铺,深圳区宝安大道航空新城(宝安国际机场附近),宝安,福永,fuyong,0,,,ERR:HTTP Error 429: Too 
383,永利大厦商铺,深圳福永街道市场西南侧,宝安,福永,fuyong,0,,,ERR:HTTP Error 429: Too 
384,有福楼商铺,深圳宝安区福永街道德丰路南侧,宝安,福永,fuyong,0,,,ERR:HTTP Error 429: Too 
385,永利嘉园商铺,深圳福永市场旁边,宝安,福永,fuyong,0,,,ERR:HTTP Error 429: Too 
386,永政大厦,深圳宝安区福永街道 白石厦德丰路278号永政大厦,宝安,福永,fuyong,15990,,,ERR:HTTP Error 429: Too 
387,明辉花园,深圳福永街道宝安大道东侧（福永中学附近）,宝安,福永,fuyong,0,,,ERR:HTTP Error 429: Too 
388,怀德公元,深圳前海大空港福永中心107国道西侧,宝安,福永,fuyong,37000,,,ERR:HTTP Error 429: Too 
389,中粮凤凰里项目,深圳大洋路与塘新路交汇处,宝安,福永,fuyong,0,,,ERR:HTTP Error 429: Too 
390,中海西岸华府,深圳松岗沙江西路与朗碧路交汇处,宝安,松岗,songgang,18548,,,ERR:HTTP Error 429: Too 
391,畔山御景花园,深圳松岗街道松安路东北侧江边村,宝安,松岗,songgang,16435,,,ERR:HTTP Error 429: Too 
392,宝利豪庭,深圳松岗街道办楼岗大道1号(107国道与楼岗大道交汇处),宝安,松岗,songgang,16606,,,ERR:HTTP Error 429: Too 
393,宏发君域,深圳松岗107国道与沙江路交界处,宝安,松岗,songgang,17240,,,ERR:HTTP Error 429: Too 
394,集信名城,深圳松岗街道沙江路,宝安,松岗,songgang,20205,,,ERR:HTTP Error 429: Too 
395,前进公社,深圳宝安楼岗大道与松岗大道交汇处,宝安,松岗,songgang,3938,,,ERR:HTTP Error 429: Too 
396,星际家园,深圳宝安大道上复亚医院旁,宝安,松岗,songgang,5465,,,ERR:HTTP Error 429: Too 
